"Binomial","CommonName","Pathway","Landmass","geometry","longitude","latitude","Distance"
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(175.188228448508, -41.0389794989553),175.188228448508,-41.0389794989553,9590.11009899983
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(178.12859500521, -37.8528745663029),178.12859500521,-37.8528745663029,9416.31911619897
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(176.998996469533, -38.1188198920786),176.998996469533,-38.1188198920786,9389.5274805055
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(177.126564595477, -38.1189507688338),177.126564595477,-38.1189507688338,9395.3397601996
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(174.800495810037, -38.3986721787799),174.800495810037,-38.3986721787799,9318.89230895443
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(175.072215937178, -37.1873265238863),175.072215937178,-37.1873265238863,9213.97936722086
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(174.776336543448, -37.3531870396053),174.776336543448,-37.3531870396053,9216.92085217572
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","North Island",c(174.26653326689, -35.305108703374),174.26653326689,-35.305108703374,8996.44721055702
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","South Island",c(170.56167604383, -44.7273841592351),170.56167604383,-44.7273841592351,9773.28499556603
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Great Britain Island",c(-3.6545400531787, 51.9438097927494),-3.6545400531787,51.9438097927494,9333.31710498095
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Great Britain Island",c(1.07607151971447, 52.7650132601097),1.07607151971447,52.7650132601097,9083.41356062395
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Great Britain Island",c(-4.63522748191722, 51.9241363450766),-4.63522748191722,51.9241363450766,9369.30398710922
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Great Britain Island",c(-2.61287298153807, 55.903710689223),-2.61287298153807,55.903710689223,8921.8219668159
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Great Britain Island",c(-4.21292769749966, 54.9844597461819),-4.21292769749966,54.9844597461819,9061.55761679408
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Great Britain Island",c(-5.04770490148706, 54.9730178174593),-5.04770490148706,54.9730178174593,9089.54109606311
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Torsa Island",c(-5.6163006006278, 56.2571962354801),-5.6163006006278,56.2571962354801,8983.43727894393
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Skye Island",c(-6.24603301629453, 57.3628545194889),-6.24603301629453,57.3628545194889,8895.27449511803
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Shuna Island",c(-5.60508531024412, 56.2128374467178),-5.60508531024412,56.2128374467178,8987.37975277832
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Mull Island",c(-6.02132792701654, 56.4472363931993),-6.02132792701654,56.4472363931993,8977.34838526332
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Seil Island",c(-5.6196624505228, 56.2966676567994),-5.6196624505228,56.2966676567994,8979.72650677061
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Luing Island",c(-5.64266695568308, 56.2300294131838),-5.64266695568308,56.2300294131838,8986.86845687173
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(-0.859575140103791, 48.9991663694279),-0.859575140103791,48.9991663694279,9507.4841483006
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(2.45881628942689, 47.7355632749764),2.45881628942689,47.7355632749764,9487.59410942163
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(5.63961028580494, 47.5968191965475),5.63961028580494,47.5968191965475,9359.78216061085
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(6.2358658294663, 46.9317649363099),6.2358658294663,46.9317649363099,9391.26401990212
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(1.42683554078224, 44.8150577563121),1.42683554078224,44.8150577563121,9799.9797245307
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(2.22948723417252, 44.2853076386745),2.22948723417252,44.2853076386745,9812.57399394468
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(2.88078175109492, 43.8748086297692),2.88078175109492,43.8748086297692,9820.20002013961
"Cervus nippon","Sika Deer","Hunting, Ornamental Purposes","Europe",c(-1.94658954636181, 47.3312152574492),-1.94658954636181,47.3312152574492,9707.32905374534
"Crocidura russula","White-toothed Shrew","Stowaway","Ireland Island",c(-7.30542282504386, 53.6035183962381),-7.30542282504386,53.6035183962381,1340.14765070652
"Crocidura russula","White-toothed Shrew","Stowaway","Ireland Island",c(-7.91331337169746, 52.6180051057424),-7.91331337169746,52.6180051057424,1269.04581165879
"Dama dama","Fallow Deer","Conservation","Sicily Island",c(13.2945973444097, 38.0263026397052),13.2945973444097,38.0263026397052,724.453311289451
"Dama dama","Fallow Deer","Conservation","Sicily Island",c(14.0465619509032, 37.8701115476401),14.0465619509032,37.8701115476401,691.8862748572
"Dama dama","Fallow Deer","Conservation","Sardinia Island",c(9.50719930440097, 39.8242528328554),9.50719930440097,39.8242528328554,891.829831032574
"Dama dama","Fallow Deer","Conservation","Sardinia Island",c(9.01781641159086, 40.124797761592),9.01781641159086,40.124797761592,918.823429113227
"Dama dama","Fallow Deer","Conservation","Sardinia Island",c(9.52847682147968, 40.5503481031661),9.52847682147968,40.5503481031661,862.748906828313
"Dama dama","Fallow Deer","Hunting","Europe",c(-8.44190110047242, 38.1535737486224),-8.44190110047242,38.1535737486224,2412.5656886132
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(173.376070394742, -41.840446072681),173.376070394742,-41.840446072681,17861.719451435
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(173.604032928391, -41.8017620829666),173.604032928391,-41.8017620829666,17879.4932195616
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","South Island",c(173.841824738911, -41.7286091296478),173.841824738911,-41.7286091296478,17897.3586788309
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.155569938779, -38.615502200676),175.155569938779,-38.615502200676,17914.874244528
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(176.187798310103, -38.3973266585552),176.187798310103,-38.3973266585552,17991.1206798833
"Dama dama","Fallow Deer","Hunting","Juventud Island",c(-82.8404491217426, 21.6775479808293),-82.8404491217426,21.6775479808293,9358.59147440298
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.194461823213, -38.6187732660695),175.194461823213,-38.6187732660695,17918.1813467972
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.266700490511, -38.3860604238177),175.266700490511,-38.3860604238177,17915.3382306527
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.510251018024, -38.2762938152116),175.510251018024,-38.2762938152116,17931.0342221584
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(174.751552664729, -38.4919555707435),174.751552664729,-38.4919555707435,17877.1693678332
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.081664915651, -38.2293527379424),175.081664915651,-38.2293527379424,17894.1492221153
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.02421506306, -38.3111753157858),175.02421506306,-38.3111753157858,17892.6178394195
"Dama dama","Fallow Deer","Farming, Fauna Improvement, Hunting, Ornamental Purposes","North Island",c(175.07120690623, -38.1197429291905),175.07120690623,-38.1197429291905,17888.9952134272
